clinic_name,address,clinic_street,clinic_number,clinic_city,clinic_county,clinic_other_details,something
Dental West Astra,"Str. Livada Vulturului Nr. 10 et. 2 ap. 24Brasov, Brasov",Str. Livada Vulturului,Nr. 10,Brasov,Brasov,et. 2 ap. 24,Mihai
Dental West Centru,"Str. Iuliu Maniu Nr. 68 sc. A ap. 1Brasov, Brasov",Str. Iuliu Maniu,Nr. 68,Brasov,Brasov,sc. A ap. 1,Mihai
Dental West Craiter,"Str. Harmanului Nr. 116 bl. 12 sc. A ap. 1Brasov, Brasov",Str. Harmanului,Nr. 116,Brasov,Brasov,bl. 12 sc. A ap. 1,Mihai
Dental White Constanta,"B-dul 1 Mai Nr. 64 bl. UM3 sc. A ap. 1 parterConstanta, Constanta",B-dul 1 Mai,Nr. 64,Constanta,Constanta,bl. UM3 sc. A ap. 1 parte,Mihai
DentalAria,Str. Tudor Stefan Nr. 53-55 sector 1 Bucuresti,Str. Tudor Stefan,Nr. 53-55,Sector 1,Bucuresti,,Mihai
DentalClinica,Str. Matei Voievod Nr. 112 sector 2 Bucuresti,Str. Matei Voievod,Nr. 112,Sector 2,Bucuresti,,Mihai
DentaLife - MedLife,,,,,,,Mihai
DentallPro,B-dul Corneliu Coposu Nr. 4 bl. 105A parter sector 3 Bucuresti,B-dul Corneliu Coposu,Nr. 4,Sector 3,Bucuresti,bl. 105A parter,Mihai
DentalMed,"Calea 13 Septembrie Nr. 102 bl. 48A Sector 5, Bucuresti",Calea 13 Septembrie,Nr. 102,Sector 5,Bucuresti,bl. 48A,Mihai
DentalMobility Brasov,"Strada Cometei Nr. 1Brasov, Brasov",Strada Cometei,Nr. 1,Brasov,Brasov,,Mihai
DentalMobility Constanta,"Strada Dacia Nr. 3Constanta, Constanta",Strada Dacia,Nr. 3,Constanta,Constanta,,Mihai
Dental-T,Str. Turda Nr. 129 bl. 1 sc. E ap. 197 sector 1 interfon 197 C Bucuresti,Str. Turda,Nr. 129,Sector 1,Bucuresti,bl. 1 sc. E ap. 197,Mihai
Dentamar Dr. Pralea,,,,,,,Mihai
DentAmerica (Dent - A - America),Str. Alexandru Constantinescu Nr. 11-13 sector 1 Bucuresti,Str. Alexandru Constantinescu,Nr. 11-13,Sector 1,Bucuresti,,Mihai
Dentamir,"Str.Rovine Nr. 17Bihor, Oradea",Str.Rovine,Nr. 17,Oradea,Bihor,,Mihai
DentaPlus,B-dul Iancu de Hunedoara Nr. 35 sc. A ap. 8 sector 1 Bucuresti,B-dul Iancu de Hunedoara,Nr. 35,Sector 1,Bucuresti,sc. A ap. 8,Mihai
DentaPlus Dristor,"Str. Ramnicu-Valcea, Nr. 19, Bl. 23, Sc. 1, Ap. 1Sector 3 Bucuresti",Str. Ramnicu-Valcea,Nr. 19,Sector 3,Bucuresti,"Bl. 23, Sc. 1, Ap. 1",Mihai
DentaStyle,"Bd. Vasile Milea, Nr. 8, bl B2, sc.2, ap.21, parter, interfon 21, sector 6 Bucuresti",Bd. Vasile Milea,Nr. 8,Sector 6,Bucuresti,"bl B2, sc.2, ap.21, parte",Mihai
Dentesse Husi,"Str. Stefan cel Mare Nr. 79 bl. UMPS parterVaslui, Husi",Str. Stefan cel Mare,Nr. 79,Husi,Vaslui,bl. UMPS parter,Mihai
Dentesse Iasi,"Str. Saulescu Nr. 13 (Terramold Business Center)Iasi, Iasi",Str. Saulescu,Nr. 13,Iasi,Iasi,(Terramold Business Cente,Mihai
Dentesse Kids###Teens,"Str. Palas Nr. 7 Palas Mall (langa Kids Land)Iasi, Iasi",Str. Palas,Nr. 7,Iasi,Iasi,Palas Mall (langa Kids La,Mihai
Dentexcela 3,Str. Andrei Muresanu Nr. 11-13 etaj 3Sector 1 Bucuresti,Str. Andrei Muresanu,Nr. 11-13,Sector 1,Bucuresti,etaj 3,Mihai
Dentexclusiv,"Str. Moara de Foc Nr. 4 bl. 405 sc. BIasi, Iasi",Str. Moara de Foc,Nr. 4,Iasi,Iasi,bl. 405 sc. B,Mihai
Dentexpert Magic Brasov,"Str. Alexandru Ioan Cuza Nr. 54Brasov, Brasov",Str. Alexandru Ioan Cuza,Nr. 54,Brasov,Brasov,,Mihai
Dentexpert Magic Bucuresti,B-dul Eroilor Nr. 30 bl. C2 sc. 1 ap. 20 Bucuresti,B-dul Eroilor,Nr. 30,***,Bucuresti,bl. C2 sc. 1 ap. 20,Mihai
Dentist Holiday,Str. Sevastopol Nr. 13 - 17 Bucuresti,Str. Sevastopol,Nr. 13,***,Bucuresti,- 17,Mihai
Dentistul Tau,B-dul Mihai Bravu Nr. 64-88 sc. 1 parter ap. 2 interfon 02 sector 2 Bucuresti,B-dul Mihai Bravu,Nr. 64-88,Sector 2,Bucuresti,sc. 1 parter ap. 2 interf,Mihai
Dentland,Str. Calusei Nr. 12 et. 1 sector 2 Bucuresti,Str. Calusei,Nr. 12,Sector 2,Bucuresti,et. 1,Mihai
Dentland Aviatorilor,Blvd. Aviatorilor Nr. 23 sector 1 Bucuresti,Blvd. Aviatorilor,Nr. 23,Sector 1,Bucuresti,,Mihai
Dentomed,Str. Vatra Luminoasa Nr. 2-24 Bl. D6 Sc 2 ap. 50 Sector 2 Bucuresti,Str. Vatra Luminoasa,Nr. 2-24,Sector 2,Bucuresti,Bl. D6 Sc 2 ap. 50,Mihai
DentoPlus,"Str. Corbului Nr. 2AConstanta, Constanta",Str. Corbului,Nr. 2A,Constanta,Constanta,,Mihai
Dentrix - Brasov,"Str. Oltet Nr. 8Brasov, Brasov",Str. Oltet,Nr. 8,Brasov,Brasov,,Mihai
Dentrix Brasov 2,"Str Egretei Nr.16, bl. B14, DemisolBrasov, Brasov",Str Egretei,Nr. 16,Brasov,Brasov,"bl. B14, Demisol",Mihai
Dentsmile,"Str. Victor Babes Nr. 31Cluj, Cluj-Napoca",Str. Victor Babes,Nr. 31,Cluj-Napoca,Cluj,,Mihai
Dentson,"B-dul Mihai Eminescu Nr. 45Botosani, Botosani",B-dul Mihai Eminescu,Nr. 45,Botosani,Botosani,,Mihai
Derma Lux,"Str. Petru Rares Nr. 17Iasi, Iasi",Str. Petru Rares,Nr. 17,Iasi,Iasi,,Mihai
Derma Team,"Str. Macinului, Nr. 11ACluj, Cluj-Napoca",Str. Macinului,Nr. 11A,Cluj-Napoca,Cluj,,Mihai
DermaHealth by dr. Ari Skeja,"Str Drubeta Nr. 29ATimis, Timisoara",Str Drubeta,Nr. 29A,Timisoara,Timis,,Mihai
DermaLife,,,,,,,Mihai
Dermalift Medical Spa,"Str. Grigore Moisil Nr. 8 sc. B ap. 2Bihor, Oradea",Str. Grigore Moisil,Nr. 8,Oradea,Bihor,sc. B ap. 2,Mihai
DermaPlus,,,,,,,Mihai
Dermato Byronia,"Str. Soldat Petre Tina Nr. 6 bl. L31 sc. B, ap. 55 Sector 3 Bucuresti",Str. Soldat Petre Tina,Nr. 6,Sector 3,Bucuresti,"bl. L31 sc. B, ap. 55",Mihai
Dermatologie Dr. Sebastian Pop,Str. Grigore Alexandrescu Nr. 46 Bucuresti,Str. Grigore Alexandrescu,Nr. 46,***,Bucuresti,,Mihai
Dermatomed,"Aleea Inului Nr. 4 ap. 3Timis, Timisoara",Aleea Inului,Nr. 4,Timisoara,Timis,ap. 3,Mihai
Dermestet,Sos. Oltenitei Nr. 257A Vila 3 Bucuresti,Sos. Oltenitei,Nr. 257A,***,Bucuresti,Vila 3,Mihai
Dermestetica,Bvd. Aviatorilor Nr. 49 Sector 1 Bucuresti,Bvd. Aviatorilor,Nr. 49,Sector 1,Bucuresti,,Mihai
Diadent,"Str. Petru Rares Nr. 13Iasi, Iasi",Str. Petru Rares,Nr. 13,Iasi,Iasi,,Mihai
DiaMedicalPort,B-dul Iuliu Maniu Nr. 448-450 sector 6 Bucuresti,B-dul Iuliu Maniu,Nr. 448-450,Sector 6,Bucuresti,,Mihai
Diantus Estet Arad,"Str. Radu de la Afumati Nr. 35Arad, Arad",Str. Radu de la Afumati,Nr. 35,Arad,Arad,,Mihai
Diantus Estet Constanta,"B-dul; Mamaia Nr. 218Constanta, Constanta",B-dul; Mamaia,Nr. 218,Constanta,Constanta,,Mihai
Didenta Implantology Art Calea Dorobantilor,Intrarea Bitolia Nr. 15 sector 1 Bucuresti,Intrarea Bitolia,Nr. 15,Sector 1,Bucuresti,,Mihai
Didenta Implantology Art Drumul Taberei,Str. Valea Ialomitei Nr. 1A bl. C18A sc. 3 ap. 92 sector 6 Bucuresti,Str. Valea Ialomitei,Nr. 1A,Sector 6,Bucuresti,bl. C18A sc. 3 ap. 92,Mihai
Digestmed,str Veteranilor Nr. 11A metrou Lujerului Bucuresti,str Veteranilor,Nr. 11A,***,Bucuresti,metrou Lujerului,Mihai
Docadent,"Str. Mircea cel Batran  bl. 54 ap. 1Timis, Timisoara",Str. Mircea cel Batran,,Timisoara,Timis,bl. 54 ap. 1,Mihai
Doctor Anghel Medical Center,Str. Theodor Sperantia Nr. 51 sector 3 Bucuresti,Str. Theodor Sperantia,Nr. 51,Sector 3,Bucuresti,,Mihai
Domina Sana,Str. Viesparilor Nr. 26 et. 1 cam. 5 sector 2 Bucuresti,Str. Viesparilor,Nr. 26,Sector 2,Bucuresti,et. 1 cam. 5,Mihai
Donna Medical Center,Str. Traian Nr. 234 et. 1 sector 2 Bucuresti,Str. Traian,Nr. 234,Sector 2,Bucuresti,et. 1,Mihai
Donna Medical Center Pipera,"str. George Constantinescu, Nr. 2-4, Sector 2 Bucuresti",str. George Constantinescu,Nr. 2-4,Sector 2,Bucuresti,,Mihai
Dr. Miron Aesthetic Clinique,Str. Tudor Vianu Nr. 5-7 sector 1 Bucuresti,Str. Tudor Vianu,Nr. 5-7,Sector 1,Bucuresti,,Mihai
Dr. Negru Dental Studio - Pitesti,"Str. Exercitiu  bl. D21 sc. B ap. 3Arges, Pitesti",Str. Exercitiu,,Pitesti,Arges,bl. D21 sc. B ap. 3,Mihai
Dr. Rosca Medical Center,"Str. Titus, Nr. 8, sector 4 Bucuresti",Str. Titus,Nr. 8,Sector 4,Bucuresti,,Mihai
Dr. Smile,Str. Calea Dudesti Nr. 202 sector 3 Bucuresti,Str. Calea Dudesti,Nr. 202,Sector 3,Bucuresti,,Mihai
Dr. Tarlev,"Str. Stefan Greceanu Nr. 14 bl. J4 ap. 1 parterPrahova, Ploiesti",Str. Stefan Greceanu,Nr. 14,Ploiesti,Prahova,bl. J4 ap. 1 parter,Mihai
DSDentalClinic Cabinet Dentist Dristor,Str Ramnicu Valcea Nr. 29 bl 20D interfon 01 sector 3 Bucuresti,Str Ramnicu Valcea,Nr. 29,Sector 3,Bucuresti,bl 20D interfon 01,Mihai
Ecadent,"Str. Bolyai Nr. 5Harghita, Miercurea-Ciuc",Str. Bolyai,Nr. 5,Miercurea-Ciuc,Harghita,,Mihai
Echo-Med-Sante,"Str. Elena Cuza  bl. E6 parterArges, Curtea de Arges",Str. Elena Cuza,,Curtea de Arges,Arges,bl. E6 parter,Mihai
Eco Diagnosis,Aleea Scolarilor Nr.10 Bl. S24 ap.1 parter Bucuresti,Aleea Scolarilor,Nr. 10,***,Bucuresti,Bl. S24 ap.1 parter,Mihai
Egoclinic,Calea Plevnei Nr. 82 Bucuresti,Calea Plevnei,Nr. 82,***,Bucuresti,,Mihai
EkyDent,"Str. Gheorghe Doja Nr. 100 et. 2Prahova, Ploiesti",Str. Gheorghe Doja,Nr. 100,Ploiesti,Prahova,et. 2,Mihai
ElisaMed,"Str. Dr. Aurel Lazar Nr. 6Alba, Alba Iulia",Str. Dr. Aurel Lazar,Nr. 6,Alba Iulia,Alba,,Mihai
Elit Medical,"Str. Vasile Lupu Nr. 2 bl. 32EFPrahova, Ploiesti",Str. Vasile Lupu,Nr. 2,Ploiesti,Prahova,bl. 32EF,Mihai
Elysium,Str. Ghita Padureanu Nr. 5 parter sector 2 Bucuresti,Str. Ghita Padureanu,Nr. 5,Sector 2,Bucuresti,parter,Mihai
Elytis Hospital,"Str. Gh. SAULESCU Nr. 43AIasi, Iasi",Str. Gh. SAULESCU,Nr. 43A,Iasi,Iasi,,Mihai
Endocenter,Str. Arh. G. Sterian Nr. 8 sector 2 Bucuresti,Str. Arh. G. Sterian,Nr. 8,Sector 2,Bucuresti,,Mihai
Endogastrohep,Calea Vitan Nr. 28 etaj 4 Bucuresti,Calea Vitan,Nr. 28,***,Bucuresti,etaj 4,Mihai
Epicdent,Str. Parfumului Nr. 35 ap. 5 sector 3 Bucuresti,Str. Parfumului,Nr. 35,Sector 3,Bucuresti,ap. 5,Mihai
Equilibrium Consulting,B-dul Burebista Nr. 1 bl. D15 sc. 4 et. 6 ap. 130 Bucuresti,B-dul Burebista,Nr. 1,***,Bucuresti,bl. D15 sc. 4 et. 6 ap. 1,Mihai
EraDent,Str. Radu Beller Nr. 33 sector 1 Bucuresti,Str. Radu Beller,Nr. 33,Sector 1,Bucuresti,,Mihai
Es Dent,"Calea Bucuresti Nr. 50Brasov, Brasov",Calea Bucuresti,Nr. 50,Brasov,Brasov,,Mihai
Es Dent,"Str Carpatilor Nr. 39Brasov, Brasov",Str Carpatilor,Nr. 39,Brasov,Brasov,,Mihai
Esential Psy,Piata Natiunile Unite Nr. 3-5 Bl. A Sc. A Et. 1 Ap. 6 sector 4 Bucuresti,Piata Natiunile Unite,Nr. 3-5,Sector 4,Bucuresti,Bl. A Sc. A Et. 1 Ap. 6,Mihai
Estetderm,"Str. Granicerilor Nr.3/13-16Bistrita-Nasaud, Bistrita",Str. Granicerilor,Nr. 3/13-16,Bistrita,Bistrita-Nasaud,,Mihai
Estetico Dr. Popescu Marius,Strada Ghita Padureanu Nr. 5 Bucuresti,Strada Ghita Padureanu,Nr. 5,***,Bucuresti,,Mihai
Estetis Clinic,"Str. Feleacului Nr. 36Bihor, Oradea",Str. Feleacului,Nr. 36,Oradea,Bihor,,Mihai
Esthera Medical Center,Str. Washington Nr. 48 A sector 1 Bucuresti,Str. Washington,Nr. 48,Sector 1,Bucuresti,A,Mihai
Eucardios,,,,,,,Mihai
Euro Medi Center,"Str. Grigore Ghica Voda Nr. 7Iasi, Iasi",Str. Grigore Ghica Voda,Nr. 7,Iasi,Iasi,,Mihai
Euromedica Hospital,"Str. George Cosbuc Nr. 48Maramures, Baia Mare",Str. George Cosbuc,Nr. 48,Baia Mare,Maramures,,Mihai
Euro-Optics,Str. Dr. Iatropol Panait Nr. 21 sector 5 Bucuresti,Str. Dr. Iatropol Panait,Nr. 21,Sector 5,Bucuresti,,Mihai
Evolution Dent,"strada Anton Pann Nr. 4, sector 3 Bucuresti",strada Anton Pann,Nr. 4,Sector 3,Bucuresti,,Mihai
ExMedica,Str. Dragos Voda Nr. 22 sector 2 Bucuresti,Str. Dragos Voda,Nr. 22,Sector 2,Bucuresti,,Mihai
Expert Medica,Calea Grivitei Nr. 206 bloc K parter Bucuresti,Calea Grivitei,Nr. 206,***,Bucuresti,bloc K parter,Mihai
F. M. Medident,B-dul Corneliu Coposu Nr. 7 bl. 104 sc. B parter sector 3 Bucuresti,B-dul Corneliu Coposu,Nr. 7,Sector 3,Bucuresti,bl. 104 sc. B parter,Mihai
Familia Centrul de Fertilitate,,,,,,,Mihai
Family Smile by Dr Miron Florentina,"Tiglina I,Str. Regiment 11 Siret, Nr. 37,Bloc C23, Scara 1, ParterGalati, Galati","Tiglina I,Str. Regiment 11 Siret","Nr. 37,Bloc",Galati,Galati,"C23, Scara 1, Parter",Mihai
FeminasMed,"Strada Tudor Vianu Nr. 5-7, et 2 ap 5. sector 1 Bucuresti",Strada Tudor Vianu,Nr. 5-7,Sector 1,Bucuresti,et 2 ap 5.,Mihai
Femme Boutique Medical,Str. Aleea Alexandru Nr. 35 sector 1 Bucuresti,Str. Aleea Alexandru,Nr. 35,Sector 1,Bucuresti,,Mihai
Fetal Care,Str Sevastopol Nr. 24 Sector 1 Bucuresti,Str Sevastopol,Nr. 24,Sector 1,Bucuresti,,Mihai
First Dent,"Str. Gh. Gr. Cantacuzino Nr. 14Prahova, Ploiesti",Str. Gh. Gr. Cantacuzino,Nr. 14,Ploiesti,Prahova,,Mihai
Fix Clinique,B-dul Bucurestii Noi Nr. 64 sector 1 Bucuresti,B-dul Bucurestii Noi,Nr. 64,Sector 1,Bucuresti,,Mihai
Fiziodent Implant Center,B-dul Chisinau Nr. 22 bl. M13 sc. A parter ap. 2 sector 2 Bucuresti,B-dul Chisinau,Nr. 22,Sector 2,Bucuresti,bl. M13 sc. A parter ap.,Mihai
Fiziolife Medica,"Bulevardul Unirii Nr. 70, Bucuresti",Bulevardul Unirii,Nr. 70,***,Bucuresti,,Mihai
Focus Lab Plus Laborator,Str. Ciresului Nr. 1 sector 2 Bucuresti,Str. Ciresului,Nr. 1,Sector 2,Bucuresti,,Mihai
FONIO Centru de Audiologie,,,,,,,Mihai
Fortius,Str. Magura Vulturului Nr. 75 sector 2 Bucuresti,Str. Magura Vulturului,Nr. 75,Sector 2,Bucuresti,,Mihai
Gastro Center Craiova,"Strada Stefan cel Mare Nr. 2-4Dolj, Craiova",Strada Stefan cel Mare,Nr. 2-4,Craiova,Dolj,,Mihai
Gastromond  - Regina Maria,"Bulevardul Tomis Nr. 143A, Constanta, Constanta",Bulevardul Tomis,Nr. 143A,Constanta,Constanta,,Mihai
Genesis Athens - Clinica FIV,Str. Justinian Nr. 3 Bucuresti,Str. Justinian,Nr. 3,***,Bucuresti,,Mihai
Genesys Fertility Center,Str. Stefan Sanatescu Nr. 5 sector 1 Bucuresti,Str. Stefan Sanatescu,Nr. 5,Sector 1,Bucuresti,,Mihai
Genetic Center Cluj Napoca,"Str. Observatorului Nr. 109Cluj, Cluj-Napoca",Str. Observatorului,Nr. 109,Cluj-Napoca,Cluj,,Mihai
Genetic Lab,"Str. Milcov, Nr.5, Sector 1 Bucuresti",Str. Milcov,Nr. 5,Sector 1,Bucuresti,,Mihai
Gentle Dentist Dorobanti,"Str. Constantin Aricescu Nr.36, Sector 1 Bucuresti",Str. Constantin Aricescu,Nr. 36,Sector 1,Bucuresti,,Mihai
Gentle Dentist Unirii,"B-dul Corneliu Coposu Nr.7, Bl. 104, Sc. 2, Ap. 47, etaj 5 (interfon 047) Bucuresti",B-dul Corneliu Coposu,Nr. 7,***,Bucuresti,"Bl. 104, Sc. 2, Ap. 47, e",Mihai
Geriplus Med,Str. Ioan Atanasiu Nr. 34 sector 5 Bucuresti,Str. Ioan Atanasiu,Nr. 34,Sector 5,Bucuresti,,Mihai
German Dent,Str. Pietei Nr. 36-42 sector 1 Bucuresti,Str. Pietei,Nr. 36-42,Sector 1,Bucuresti,,Mihai
Geronto Life Med - Clinica de Geriatrie-Gerontologie,Str Ciacova Nr. 9 Sector 1 Bucuresti,Str Ciacova,Nr. 9,Sector 1,Bucuresti,,Mihai
Ghencea Medical Center,B-dul Ghencea Nr. 32 Bucuresti,B-dul Ghencea,Nr. 32,***,Bucuresti,,Mihai
Ginecoart,,,,,,,Mihai
Ginecomed,Str. Ramnicu Valcea Nr. 22 bl. 31 sc. A ap. 1 sector 3 Bucuresti,Str. Ramnicu Valcea,Nr. 22,Sector 3,Bucuresti,bl. 31 sc. A ap. 1,Mihai
Gineko Pro,"Str. Somesului Nr. 11Sibiu, Sibiu",Str. Somesului,Nr. 11,Sibiu,Sibiu,,Mihai
Ginevio,Calea Dudesti Nr. 104-122 Etaj 4 cabinet 245 Bucuresti,Calea Dudesti,Nr. 104-122,***,Bucuresti,Etaj 4 cabinet 245,Mihai
Gisana Medical,"Strada Greva de la Grivita Nr. 3, Vrancea, Focsani",Strada Greva de la Grivita,Nr. 3,Focsani,Vrancea,,Mihai
Glamour Dental,str Prinosului Nr. 13-19 bl 1 sc 1 ap 3 sector 4 South Garden Residence Bucuresti,str Prinosului,Nr. 13-19,Sector 4,Bucuresti,bl 1 sc 1 ap 3,Mihai
GluckMed,Episcop Chesarie Nr. 15 City Center Residence Tronson C2 Parter 40183 Bucuresti,Episcop Chesarie,Nr. 15,***,Bucuresti,City Center Residence Tro,Mihai
GM Clinic,"B-dul Dambovita Nr. 10Timis, Timisoara",B-dul Dambovita,Nr. 10,Timisoara,Timis,,Mihai
Gold Dental Clinic,Sos. Mihai Bravu Nr. 325 bl. 55 cladire P+1 et. 1 sector 3 Bucuresti,Sos. Mihai Bravu,Nr. 325,Sector 3,Bucuresti,bl. 55 cladire P+1 et. 1,Mihai
Gral Lujerului,"B-dul Iuliu Maniu Nr. 18, Bloc 15A, parter, sector 6 Bucuresti",B-dul Iuliu Maniu,Nr. 18,Sector 6,Bucuresti,"Bloc 15A, parter",Mihai
Gral Medical Plevnei,Calea Plevnei Nr. 17-21 sector 1 Bucuresti,Calea Plevnei,Nr. 17-21,Sector 1,Bucuresti,,Mihai
Gral Titan,"Bd. Nicolae Grigorescu Nr. 41, sector 3, Policlinica Titan Bucuresti",Bd. Nicolae Grigorescu,Nr. 41,Sector 3,Bucuresti,,Mihai
Green Dental,Str. Grigore Alexandrescu Nr. 7 Bucuresti,Str. Grigore Alexandrescu,Nr. 7,***,Bucuresti,,Mihai
Grosu Dermatology,"Str. Romulus Nr. 34ATimis, Timisoara",Str. Romulus,Nr. 34A,Timisoara,Timis,,Mihai
GTL Medical Clinic,"B-dul Unirii Nr. 24Bacau, Bacau",B-dul Unirii,Nr. 24,Bacau,Bacau,,Mihai
GynechoAS,Str. Constantin Stere Nr. 12A Sector 1 Bucuresti Bucuresti,Str. Constantin Stere,Nr. 12A,Sector 1,Bucuresti,,Mihai
Gynecolife,Bd. Theodor Pallady Nr. 18 bl. M5A sc. A parter ap. 1 interfon 1C Bucuresti,Bd. Theodor Pallady,Nr. 18,***,Bucuresti,bl. M5A sc. A parter ap.,Mihai
Gynecolife,Str. Wilhelm Filderman Nr.18 Bucuresti,Str. Wilhelm Filderman,Nr. 18,***,Bucuresti,,Mihai
Gynia - Spital privat de Obstetrica si Ginecologie,"Str. Mosoiu Nr. 60Cluj, Cluj-Napoca",Str. Mosoiu,Nr. 60,Cluj-Napoca,Cluj,,Mihai
Gyniclinique,,,,,,,Mihai
HACK DENTAL,"Valea Voievozilor str. Gura Vaii, Nr. 73 Zip code 137397Dambovita, Razvad",Valea Voievozilor str. Gura Vaii,Nr. 73,Razvad,Dambovita,Zip code 137397,Mihai
Hair Implant Institut - Bolintineanu,"Soseaua Nordului, Nr. 102G, Sector 1 Bucuresti",Soseaua Nordului,Nr. 102G,Sector 1,Bucuresti,,Mihai
Happy Dental Cabinet Stomatologic,"Aleea Arinului Nr. 2 bl. 1 sc. A ap. 4 parterPrahova, Ploiesti",Aleea Arinului,Nr. 2,Ploiesti,Prahova,bl. 1 sc. A ap. 4 parter,Mihai
Happy Tooth,Drumul Taberei Nr. 66 bl. OS6 sc. 3 ap. 81 sector 6 Bucuresti,Drumul Taberei,Nr. 66,Sector 6,Bucuresti,bl. OS6 sc. 3 ap. 81,Mihai
Harmony Clinic,Str. Barlogeni Nr. 38-40 Mansarda sector 1 Bucuresti,Str. Barlogeni,Nr. 38-40,Sector 1,Bucuresti,Mansarda,Mihai
Healthsnap Dental Clinic,"Strada Ramnicu Valcea, Nr. 18 Bucuresti",Strada Ramnicu Valcea,Nr. 18,***,Bucuresti,,Mihai
Hebra Clinica Dermatologie Bucuresti,"Sos. Titulescu, Nr. 163, bl. 20, sc. 3, parter Bucuresti",Sos. Titulescu,Nr. 163,***,Bucuresti,"bl. 20, sc. 3, parter",Mihai
Heinerich 1929,Str. Drumul Taberei Nr. 15 bl. A1 ap. 46 parter sector 6 Bucuresti,Str. Drumul Taberei,Nr. 15,Sector 6,Bucuresti,bl. A1 ap. 46 parter,Mihai
Helicomed,"Str. Sf. Atanasie Nr. 13Iasi, Iasi",Str. Sf. Atanasie,Nr. 13,Iasi,Iasi,,Mihai
Hiperdia  - Cluj,"Strada Republicii Nr. 105A, Cluj, Cluj-Napoca",Strada Republicii,Nr. 105A,Cluj-Napoca,Cluj,,Mihai
Hiperdia - Bistrita,"Str. Garii Nr. 9-11Bistrita-Nasaud, Bistrita",Str. Garii,Nr. 9-11,Bistrita,Bistrita-Nasaud,,Mihai
Hiperdia - Galati,"Str. G-ral Alexandru Cernat Nr. 61Galati, Galati",Str. G-ral Alexandru Cernat,Nr. 61,Galati,Galati,,Mihai
Hiperdia - Ploiesti,"Str. Gageni Nr. 100Prahova, Ploiesti",Str. Gageni,Nr. 100,Ploiesti,Prahova,,Mihai
Hiperdia - Satu Mare,"Str. Gheorghe Lazar Nr. 5 (incinta Policlinicii Satu Mare)Satu Mare, Satu Mare",Str. Gheorghe Lazar,Nr. 5,Satu Mare,Satu Mare,(incinta Policlinicii,Mihai
Hiperdia Bagdasar,Sos. Berceni Nr. 10-12 sector 4 Bucuresti,Sos. Berceni,Nr. 10-12,Sector 4,Bucuresti,,Mihai
Hiperdia Calea Bucuresti - Brasov,"Calea Bucuresti Nr. 25ABrasov, Brasov",Calea Bucuresti,Nr. 25A,Brasov,Brasov,,Mihai
Hiperdia Carei,,,,,,,Mihai
Hiperdia Colentina,Sos. Stefan cel Mare Nr. 19-21 Bucuresti,Sos. Stefan cel Mare,Nr. 19-21,***,Bucuresti,,Mihai
Hiperdia Miercurea Ciuc,,,,,,,Mihai
Hiperdia Poarta Schei - Brasov,"Str. Poarta Schei Nr. 31Brasov, Brasov",Str. Poarta Schei,Nr. 31,Brasov,Brasov,,Mihai
Hiperdia Pro Life Elias,B-dul Marasti Nr. 17 sector 1 Bucuresti,B-dul Marasti,Nr. 17,Sector 1,Bucuresti,,Mihai
Hiperdia Pro Life Ritmului,Str. Ritmului Nr. 24 sector 2 Bucuresti,Str. Ritmului,Nr. 24,Sector 2,Bucuresti,,Mihai
Hiperdia Republicii - Cluj,"Str. Republicii Nr. 105ACluj, Cluj-Napoca",Str. Republicii,Nr. 105A,Cluj-Napoca,Cluj,,Mihai
Hiperdia Spitalul de Neurologie - Brasov,"Str. Prundului Nr. 9-11Brasov, Brasov",Str. Prundului,Nr. 9-11,Brasov,Brasov,,Mihai
Hiperdia Spitalul Judetean - Brasov,"Calea Bucuresti Nr. 25-27Brasov, Brasov",Calea Bucuresti,Nr. 25-27,Brasov,Brasov,,Mihai
Hipocrat Spital Rahova,,,,,,,Mihai
HmDent - Dristor,Sos. Mihai Bravu Nr. 295 bl. 15 sc. 1 Bucuresti,Sos. Mihai Bravu,Nr. 295,***,Bucuresti,bl. 15 sc. 1,Mihai
HmDent - Stefan cel Mare,Sos. Stefan cel Mare Nr. 50 bl. 35B ap. 2 Bucuresti,Sos. Stefan cel Mare,Nr. 50,***,Bucuresti,bl. 35B ap. 2,Mihai
Homeomed Targu Mures,,,,,,,Mihai
Hope Medical Center,"Str. Erou Iancu Nicolae, Nr. 41, etaj 2 Bucuresti",Str. Erou Iancu Nicolae,Nr. 41,***,Bucuresti,etaj 2,Mihai
Hospice Casa Sperantei,"Str. Sitei Nr. 17ABrasov, Brasov",Str. Sitei,Nr. 17A,Brasov,Brasov,,Mihai
Houston Dental Clinic,Calea Dudesti Nr. 145 et. 3 sector 3 Bucuresti,Calea Dudesti,Nr. 145,Sector 3,Bucuresti,et. 3,Mihai
HyMarco Clinique,"Strada Poet Grigore Alexandrescu Dambovita, Targoviste",Strada Poet Grigore Alexandrescu,,Targoviste,Dambovita,,Mihai
Hyperclinica MedLife - Genesys,"Str. Cornel Radu Nr.3Arad, Arad",Str. Cornel Radu,Nr. 3,Arad,Arad,,Mihai
Hyperclinica MedLife Baneasa,Sos Bucuresti-Ploiesti Nr. 10 sector 1 Bucuresti,Sos Bucuresti-Ploiesti,Nr. 10,Sector 1,Bucuresti,,Mihai
Hyperclinica MedLife Berceni,,,,,,,Mihai
Hyperclinica MedLife Braila,,,,,,,Mihai
Hyperclinica MedLife Cluj,,,,,,,Mihai
